BLCA_diff,BRCA_diff,CESC_diff,COAD_diff,ESCA_diff,HNSC_diff,KIRC_diff,KIRP_diff,LIHC_diff,LUAD_diff,LUSC_diff,PRAD_diff,READ_diff,STAD_diff,THCA_diff,UCEC_diff,BLCA_zscore,BRCA_zscore,CESC_zscore,COAD_zscore,ESCA_zscore,HNSC_zscore,KIRC_zscore,KIRP_zscore,LIHC_zscore,LUAD_zscore,LUSC_zscore,PRAD_zscore,READ_zscore,STAD_zscore,THCA_zscore,UCEC_zscore,GIP_1,GIP_2,GIP_3,GIP_4,GIP_5,GIP_6,GIP_7,GIP_8,GIP_9,GIP_10,GIP_11,GIP_12,GIP_13,GIP_14,GIP_15,GIP_16,gene_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414513,-0.070001478,-0.057947848,-0.071169361,-0.058869286,-0.060293999,-0.06385864,-0.053622999,-0.069635042,-0.058158615,-0.065069009,-0.058183208,-0.072364589,-0.060489092,-0.078626846,-0.075322636,-0.30209634,-0.17580305,-0.29383698,0.12875119,-0.4049526,0.18063128,-0.34785715,-0.26774803,-0.104771495,-0.2585808,0.19278483,-0.5894916,0.49859053,0.1362841,0.17637604,0.045300014,56
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414502,-0.070001442,-0.057947786,-0.071169332,-0.058869225,-0.060294003,-0.06385864,-0.053622999,-0.069635042,-0.058158605,-0.065068973,-0.058183208,-0.072364589,-0.060489092,-0.078626879,-0.075322615,-0.318506,-0.16980326,-0.33847144,0.12740126,-0.42544156,0.192462,-0.36064732,-0.27723426,-0.11443138,-0.2615807,0.1835508,-0.6345732,0.5469666,0.13537426,0.18245795,0.033958696,69
0.153019548,-0.072577048,0.487937295,0,0.403450783,-0.353278215,0.286065998,0.028890642,-0.050746915,0.695825128,0.885797621,0.354126024,0,0.718882355,0.341173645,0.074555086,-0.061374331,-0.069973313,-0.057925499,-0.071139737,-0.058843343,-0.060263908,-0.063849939,-0.053618338,-0.069575195,-0.058138658,-0.065034778,-0.058169656,-0.072334969,-0.060459356,-0.078619479,-0.075295512,-0.329595,-0.18546562,-0.33829293,0.13324064,-0.42520523,0.17718925,-0.35587507,-0.28519443,-0.104325265,-0.24989018,0.20099872,-0.64332336,0.53152555,0.1251006,0.17825457,0.042756446,226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414513,-0.070001478,-0.057947848,-0.0711693,-0.058869286,-0.060294028,-0.06385864,-0.053622999,-0.069635042,-0.058158615,-0.065069009,-0.058183208,-0.072364589,-0.060489092,-0.078626898,-0.075322687,-0.27246642,-0.08428809,-0.2294963,0.114772625,-0.359153,0.17796707,-0.31356287,-0.16602822,-0.10853091,-0.1862525,0.12817866,-0.4789526,0.44330645,0.09469621,0.10598477,0.002088165,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414513,-0.07000145,-0.057947787,-0.071169327,-0.058869286,-0.060294028,-0.063858547,-0.053622999,-0.069634981,-0.05815856,-0.065068844,-0.058183208,-0.072364589,-0.060488955,-0.078626831,-0.075322605,-0.3099333,-0.18744905,-0.3036238,0.14160243,-0.39222252,0.17775783,-0.34740093,-0.26892212,-0.10830754,-0.26042402,0.1794851,-0.58114815,0.50950336,0.13478912,0.1737944,0.032607168,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414325,-0.070001182,-0.057947809,-0.071169042,-0.058868912,-0.060293849,-0.06385858,-0.053622999,-0.069634829,-0.058158525,-0.065068779,-0.058183208,-0.072362746,-0.0604883,-0.078626858,-0.075322028,-0.33489406,-0.1811822,-0.3440017,0.13931343,-0.41518813,0.17974956,-0.37553355,-0.2909643,-0.116978794,-0.26222125,0.19628094,-0.62910426,0.5285928,0.13642214,0.19109827,0.042111762,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061414488,-0.07000147,-0.057947715,-0.071169361,-0.058869286,-0.060293948,-0.06385864,-0.053622999,-0.069635042,-0.058158563,-0.065069009,-0.058183208,-0.072364589,-0.060489092,-0.078626898,-0.075322525,-0.31735724,-0.182417,-0.33136085,0.1311368,-0.42689538,0.18864712,-0.36708722,-0.28345236,-0.11352548,-0.2541783,0.1906208,-0.6235472,0.53858984,0.13567871,0.18964562,0.034630775,66
0,0,0,0,0,0,0,0,0,0,0,0.015576083,0,0,0,0,-0.061414222,-0.070001338,-0.057947784,-0.071169232,-0.058869286,-0.060293946,-0.06385864,-0.053622999,-0.069635042,-0.058158477,-0.065068984,-0.058183132,-0.072364589,-0.060489092,-0.078626898,-0.075322593,-0.17296974,-0.04739937,-0.14856297,0.0730723,-0.2711521,0.09458338,-0.28208,-0.105282076,-0.13784902,-0.17247151,0.09635656,-0.33046985,0.3530257,0.055559475,0.06271013,-0.014428696,188
0.387263682,0.493242976,0,0.393557075,-0.085141252,0.197725435,5.716090244,0.447101711,-1.276580074,1.04820877,0.607765909,1.394003785,0,0.251281892,0.517254749,0.974925296,-0.06137404,-0.068048758,-0.057766073,-0.071031034,-0.057352473,-0.060286639,-0.060912957,-0.053480318,3.259679858,-0.057816425,-0.064357204,-0.058140339,-0.054430648,-0.058415625,-0.078611328,-0.073540706,0.047728363,-0.04996983,-0.057290345,0.015716793,0.013774272,0.019845614,0.035604555,-0.03451192,-0.06648276,-0.022322752,-0.05882959,0.033808902,-0.002683526,0.045190997,-0.035823207,-0.030574245,1429
0.905613862,0.992131581,0,-3.079386286,-0.354005769,0.306473375,1.252294358,0.672802587,0.716026151,-1.401592017,0.763948287,-1.871377258,-4.102449306,-0.69895628,0.402240706,1.282761769,-0.061244546,-0.069773665,-0.057784446,-0.070846329,-0.05867781,-0.060196965,-0.063829297,-0.053578002,-0.069538582,-0.057928637,-0.064789377,-0.05810631,-0.072068267,-0.05991166,-0.078387719,-0.073046797,-0.19062653,-0.072853595,-0.1676057,0.10653974,-0.29880852,0.12959987,-0.2500143,-0.12213884,-0.11519751,-0.1713053,0.09469823,-0.32512867,0.30414835,0.07363995,0.10902892,0.012955405,244
